date,organization,count,rn
2020-02-13,American Society Of Magazine Editors,1,1
2020-02-13,Iowa Democratic Party,1,2
2020-02-13,Reuters,1,3
2020-02-13,Top Justice Department,1,4
2020-02-15,Alpine Broadcasting Corp,1,1
2020-02-15,Cnn,1,2
2020-02-15,Justice Department,1,3
2020-02-15,Msnbc,1,4
2020-02-15,Mutual Musicians Foundation,1,5
2020-02-15,United States,1,6
2020-02-17,Bloomberg,1,1
2020-02-17,Commerce Department,1,2
2020-02-17,England First Amendment Coalition,1,3
2020-02-17,Facebook,1,4
2020-02-17,Justice Department,1,5
2020-02-17,Museum Of Modern Art,1,6
2020-02-17,Trump International Hotel,1,7
2020-02-17,United States,1,8
2020-02-17,White House,1,9
2020-02-20,Christ The King Catholic School,1,1
2020-02-20,Facebook,1,2
2020-02-20,United States,1,3
2020-02-21,Centers For Disease,1,1
2020-02-21,Department Bureau Of Consular Affairs,1,2
2020-02-21,Lackland Air Force,1,3
2020-02-21,Ministry Of Internal Affairs,1,4
2020-02-21,National Center,1,5
2020-02-21,Princess Cruises,1,6
2020-02-21,Travis Air Force,1,7
2020-02-21,United States,1,8
2020-02-21,University Of Nebraska Medical Center,1,9
2020-02-23,Ministry Of Internal Affairs,1,1
2020-02-23,United States,1,2
2020-03-10,Associated Press,1,2
2020-03-10,Centers For Disease,1,3
2020-03-10,City School,1,4
2020-03-10,Democratic Party,1,5
2020-03-10,Disney,1,6
2020-03-10,Facebook,1,7
2020-03-10,Friendly Temple Missionary Baptist Church,1,8
2020-03-10,Instagram,1,9
2020-03-10,International Travel Medicine Clinic,1,10
2020-03-10,Louis University,1,11
2020-03-10,Oklahoma State University,1,12
2020-03-10,Pediatric Associates In Overland Park,1,13
2020-03-10,Pierre Laclede Junior Career Academy,1,14
2020-03-10,She On Team Biden,1,15
2020-03-10,Shelton Travel Service,1,16
2020-03-10,Tower Grove Christian Academy,1,17
2020-03-10,Tribune Content Agency,1,18
2020-03-10,University Of Kansas,1,19
2020-03-10,University Of Missouri,1,20
2020-03-10,University Of Oklahoma,1,21
2020-03-10,Vanderbilt University In Nashville,1,22
2020-03-10,Twitter,2,1
2020-03-11,Associated Press,1,1
2020-03-11,City School,1,2
2020-03-11,Democratic Party,1,3
2020-03-11,Friendly Temple Missionary Baptist Church,1,4
2020-03-11,Glendale Lutheran Church,1,5
2020-03-11,Louis University,1,6
2020-03-11,Pierre Laclede Junior Career Academy,1,7
2020-03-11,She On Team Biden,1,8
2020-03-11,Tower Grove Christian Academy,1,9
2020-03-11,Twitter,1,10
2020-03-11,United States,1,11
2020-03-11,University Of Chicago,1,12
2020-03-11,University Of Missouri,1,13
2020-03-13,Kansas Department For,1,8
2020-03-13,Kansas Department Of Corrections,1,9
2020-03-13,Kansas Senate,1,10
2020-03-13,Life Care Center,1,11
2020-03-13,Providence Medical Center,1,12
2020-03-13,Wesley Medical Center,1,13
2020-03-13,Youtube,1,14
2020-03-13,Calvary Baptist Church,2,1
2020-03-13,Department Of Corrections,2,2
2020-03-13,Kansas Department Of Health,2,3
2020-03-13,Louis County Council,2,4
2020-03-13,Lutheran Senior Services,2,5
2020-03-13,Mercy Virtual Care Center,2,6
2020-03-13,New York Times,2,7
2020-03-14,Facebook,1,1
2020-03-14,Kansas Department Of Corrections,1,2
2020-03-14,Kansas Department Of Health,1,3
2020-03-14,Kansas Senate,1,4
2020-03-14,Life Care Center,1,5
2020-03-14,Wesley Medical Center,1,6
2020-03-16,Bylaws Committee,1,5
2020-03-16,Campaign Pro,1,6
2020-03-16,Campaign Pro Ally Mutnickwrote,1,7
2020-03-16,Campaign Pro James Arkin,1,8
2020-03-16,Club For Growth,1,9
2020-03-16,Democratic National Committee,1,10
2020-03-16,Democratic Party,1,11
2020-03-16,Deputy Health,1,12
2020-03-16,Maryland National Guard,1,13
2020-03-16,Monmouth University,1,14
2020-03-16,National Education Association,1,15
2020-03-16,Nevada State Democratic Party,1,16
2020-03-16,Pro Campaign,1,17
2020-03-16,Puerto Rico Democratic Party,1,18
2020-03-16,Republican Senate,1,19
2020-03-16,Supreme Court,1,20
2020-03-16,Twitter,1,21
2020-03-16,Associated Press,3,4
2020-03-16,American Public Health Association,5,1
2020-03-16,National Governors Association,5,2
2020-03-16,White House,5,3
2020-03-17,Deputy Health,1,6
2020-03-17,Kansas Department Of Health,1,7
2020-03-17,Kansas Lottery Commission,1,8
2020-03-17,Kansas State University,1,9
2020-03-17,Life Care Center,1,10
2020-03-17,Maryland National Guard,1,11
2020-03-17,University Of Kansas,1,12
2020-03-17,Health Report Newsletter,2,5
2020-03-17,Associated Press,4,4
2020-03-17,American Public Health Association,8,1
2020-03-17,National Governors Association,8,2
2020-03-17,White House,8,3
2020-03-18,Costco,1,6
2020-03-18,University Of Kansas,2,5
2020-03-18,Associated Press,4,4
2020-03-18,American Public Health Association,5,3
2020-03-18,National Governors Association,7,1
2020-03-18,White House,7,2
2020-03-19,Health Department,1,10
2020-03-19,United States,1,11
2020-03-19,White House,1,12
2020-03-19,World Health Organization,1,13
2020-03-19,Council Grove,2,1
2020-03-19,Geary County Health Department,2,2
2020-03-19,Kansas Department Of Health,2,3
2020-03-19,Kansas Lottery Commission,2,4
2020-03-19,Lakes Liquor Store,2,5
2020-03-19,Life Center,2,6
2020-03-19,Morris,2,7
2020-03-19,Public Health,2,8
2020-03-19,University Of Kansas,2,9
2020-03-20,Kansas Department Of Health Of Environment,1,11
2020-03-20,United States,1,12
2020-03-20,White House,1,13
2020-03-20,World Health Organization,1,14
2020-03-20,Council Grove,2,1
2020-03-20,Geary County Health Department,2,2
2020-03-20,Health Department,2,3
2020-03-20,Kansas Department Of Health,2,4
2020-03-20,Kansas Lottery Commission,2,5
2020-03-20,Lakes Liquor Store,2,6
2020-03-20,Life Center,2,7
2020-03-20,Morris,2,8
2020-03-20,Public Health,2,9
2020-03-20,University Of Kansas,2,10
2020-03-21,Facebook,1,1
2020-03-21,Health Services Research,1,2
2020-03-21,Kaiser Health News,1,3
2020-03-21,Kansas Department Of Health,1,4
2020-03-21,Langone Medical Center,1,5
2020-03-21,Rural Affairs In Lyons,1,6
2020-03-21,Tribune Content Agency,1,7
2020-03-21,University Of North Carolina,1,8
2020-03-24,A Lake Regional Medical Center,1,1
2020-03-24,Boone Hospital Center,1,2
2020-03-24,Capital Region Medical Center,1,3
2020-03-24,Centers For Disease,1,4
2020-03-24,Columbia Chamber,1,5
2020-03-24,Correctional Center,1,6
2020-03-24,Facebook,1,7
2020-03-24,Health Clay Goddard,1,8
2020-03-24,Health Department,1,9
2020-03-24,Health Plaza,1,10
2020-03-24,Human Services,1,11
2020-03-24,Missouri Cancer Associates,1,12
2020-03-24,Missouri Department Of Corrections,1,13
2020-03-24,Mu Health,1,14
2020-03-24,William Woods University,1,15
2020-03-25,American Public Health Association,1,1
2020-03-25,Associated Press,1,2
2020-03-25,Nan,1,3
2020-03-25,National Governors Association,1,4
2020-03-25,White House,1,5
2020-03-26,Charities Of Minneapolis,1,1
2020-03-26,Facebook,1,2
2020-03-26,John Marshall High School,1,3
2020-03-26,Street Presbyterian Church,1,4
2020-03-26,Twitter,1,5
2020-03-26,United States,1,6
2020-03-26,University Of Puget,1,7
2020-03-27,Al Sharpton National Action Network,1,1
2020-03-27,Associated Press,1,2
2020-03-27,Attorney Office,1,3
2020-03-27,Citizen Committee For Children Of New York,1,4
2020-03-27,Council Member Stephen Levin,1,5
2020-03-27,Harlem Historical Society,1,6
2020-03-27,Illinois State Police Forensic Sciences,1,7
2020-03-27,New York Times,1,8
2020-03-27,Office Of Resolution Management,1,9
2020-03-27,Senate Committee On Veterans Affairs,1,10
2020-03-27,Veterans Affairs,1,11
2020-03-27,Virginia Commonwealth University,1,12
2020-03-30,American Academy Of Dermatology,1,1
2020-03-30,American College Of Rheumatology,1,2
2020-03-30,Arthritis Foundation,1,3
2020-03-30,Associated Press,1,4
2020-03-30,Centers For Disease,1,5
2020-03-30,Drug Administration,1,6
2020-03-30,Facebook,1,7
2020-03-30,International Journal Of Antimicrobial Agents,1,8
2020-03-30,Lupus Foundation,1,9
2020-03-30,Lupus Foundation Of America,1,10
2020-03-30,Novartis,1,11
2020-03-30,Price Chopper,1,12
2020-03-30,Tribune Content Agency,1,13
2020-03-30,United States,1,14
2020-03-30,White House,1,15
2020-03-31,Church Crackdown,1,5
2020-03-31,Cnn,1,6
2020-03-31,Democratic Party Leaders Push,1,7
2020-03-31,Moveon,1,8
2020-03-31,Oval Office,1,9
2020-03-31,University Of Washington School Of Medicine,1,10
2020-03-31,White House,1,11
2020-03-31,World Health Organization,1,12
2020-03-31,Institute For Health Metrics,2,1
2020-03-31,Kansas Department Of Health,2,2
2020-03-31,Kansas Legislature,2,3
2020-03-31,University Of Washington,2,4
2020-04-01,Del Sol Medical Center,1,6
2020-04-01,Las Palmas Medical Center,1,7
2020-04-01,Menorah Medical Center,1,8
2020-04-01,Mission Hospital,1,9
2020-04-01,Occupational Health,1,10
2020-04-01,Regional Medical Center,1,11
2020-04-01,Research Medical Center,1,12
2020-04-01,Blake Medical Center,2,1
2020-04-01,National Nurses United,2,2
2020-04-01,Osceola Regional Medical Center,2,3
2020-04-01,Research Medical Center Kansas City,2,4
2020-04-01,United States,2,5
2020-04-02,Blake Medical Center,1,1
2020-04-02,Del Sol Medical Center,1,2
2020-04-02,Las Palmas Medical Center,1,3
2020-04-02,Menorah Medical Center,1,4
2020-04-02,Mission Hospital,1,5
2020-04-02,National Nurses United,1,6
2020-04-02,Occupational Health,1,7
2020-04-02,Osceola Regional Medical Center,1,8
2020-04-02,Regional Medical Center,1,9
2020-04-02,Research Medical Center,1,10
2020-04-02,Research Medical Center Kansas City,1,11
2020-04-02,United States,1,12
2020-04-04,Army Corp Kansas City,1,1
2020-04-04,Atmospheric Administration,1,2
2020-04-04,Clark National Forest,1,3
2020-04-04,Colorado State University,1,4
2020-04-04,Corp Kansas City,1,5
2020-04-04,Corp Omaha,1,6
2020-04-04,Department Of Agriculture Natural Resources Conservation Service,1,7
2020-04-04,Ebenezer United Church,1,8
