date,organization,count,rn
2020-03-09,Cnn,1,1
2020-03-09,Columbia University,1,2
2020-03-09,Facebook,1,3
2020-03-09,National Liberty Alliance,1,4
2020-03-09,Philippines Department Of Health,1,5
2020-03-09,Twitter,1,6
2020-03-09,University Of Iowa College Of Medicine,1,7
2020-03-09,World Health Organisation,1,8
2020-03-13,Arkansas Department Of Health,1,1
2020-03-13,Facebook,1,2
2020-03-13,Office Of Emergency Management,1,3
2020-04-01,Senate Armed Services Committee,1,1
2020-04-15,Central Arkansas Community Corrections,1,1
2020-04-15,Cummins,1,2
2020-04-15,Department Of Corrections,1,3
2020-04-18,Arkansas Local Police,1,1
2020-04-18,Arkansas Racing Commission,1,2
2020-04-18,Arkansas Valley Alliance For Economic Development,1,3
2020-04-18,Cancer Center,1,4
2020-04-18,City Corp,1,5
2020-04-18,City Corp Steve Mallett,1,6
2020-04-18,City Council,1,7
2020-04-18,Community Development,1,8
2020-04-18,El Paso University,1,9
2020-04-18,Facebook,1,10
2020-04-18,Google,1,11
2020-04-18,Police Pension Retirement Fund,1,12
2020-04-18,Rehab Center,1,13
2020-04-18,United States,1,14
2020-04-18,University Of Arkansas,1,15
2020-04-23,Arkansas Department Of Health,1,1
2020-04-23,Triage Center,1,2
2020-05-04,Arkansas Tech University,1,1
2020-05-04,Atkins High School,1,2
2020-05-04,Department Of Education,1,3
2020-05-04,University Of Central Arkansas,1,4
2020-05-04,Welch College,1,5
2020-05-06,Conway Regional Health System,1,1
2020-05-06,Emergency Management Agency,1,2
2020-05-06,Mary Regional Medical Center,1,3
2020-05-11,Arkansas Department Of Health,1,1
2020-05-11,Arkansas Nonprofit News Network,1,2
2020-05-11,Centers For Disease,1,3
2020-05-11,Health Administration,1,4
2020-05-11,New York Times,1,5
2020-05-11,Tyson Foods,1,6
2020-05-12,Arkansas Department Of Health,1,1
2020-05-12,Arkansas Nonprofit News Network,1,2
2020-05-12,Centers For Disease,1,3
2020-05-12,Credit Matt White Arkansas Nonprofit News Network,1,4
2020-05-12,Health Administration,1,5
2020-05-12,New York Times,1,6
2020-05-12,Tyson Foods,1,7
2020-05-22,Cargill,1,1
2020-06-05,Arkansas Economic Development Commission,2,1
2020-06-05,Association Of Arkansas Counties,2,2
2020-06-05,Centers For Disease,2,3
2020-06-05,Chamber Chats,2,4
2020-06-05,Health Dr,2,5
2020-06-05,Payroll Protection Program,2,6
2020-06-05,Revenue Office,2,7
2020-06-05,Small Business Administration,2,8
2020-07-06,Police Department,1,1
2020-07-08,Arkansas Department Of Health,1,1
2020-07-08,Facebook,1,2
2020-07-08,Leon Millsaps Center,1,3
