date,person,count,rn
2020-04-11,Brian Lee,4,20
2020-04-11,Kristen Knapp,4,21
2020-04-11,Ron Desantis,4,22
2020-04-11,Nicole Carroll,5,17
2020-04-11,Rand Paul,5,18
2020-04-11,Thomas Massie,5,19
2020-04-11,Adrianna Rodriguez,6,15
2020-04-11,Andrew Cuomo,6,16
2020-04-11,Georgie Silvarole,7,12
2020-04-11,Joel Osteen,7,13
2020-04-11,Pope Francis,7,14
2020-04-11,Andy Beshear,8,1
2020-04-11,Anthony Fauci,8,2
2020-04-11,Deborah Birx,8,3
2020-04-11,Donald Trump,8,4
2020-04-11,Dwight Henninger,8,5
2020-04-11,John Fritze,8,6
2020-04-11,Kelly Tyko,8,7
2020-04-11,Kristine Phillips,8,8
2020-04-11,Rebecca Morin,8,9
2020-04-11,Suzanne Hirt,8,10
2020-04-11,Troy Wellman,8,11
