date,person,count,rn
2020-02-01,Carrie Lam,4,47
2020-02-01,Michael Kaine,4,48
2020-02-01,Robert R Redfield,4,49
2020-02-01,Stan Sandberg,4,50
2020-02-01,Alex Azar Evan Vucci,5,39
2020-02-01,Alex Azar Secazar,5,40
2020-02-01,Annastacia Palaszczuk,5,41
2020-02-01,Ashley Bloomfield,5,42
2020-02-01,Deb Riechmann,5,43
2020-02-01,Michael Gove,5,44
2020-02-01,William Schaffner,5,45
2020-02-01,Winnie Yu,5,46
2020-02-01,Anthony Fauci,6,30
2020-02-01,Carlos Garcia Rawlins,6,31
2020-02-01,Chris Reese,6,32
2020-02-01,Dominic Raab,6,33
2020-02-01,Jonathan Oatis,6,34
2020-02-01,Marise Payne,6,35
2020-02-01,Mark John,6,36
2020-02-01,Rosalba Obrien,6,37
2020-02-01,Virgin Atlantic,6,38
2020-02-01,Shannon Liao,7,28
2020-02-01,Thomas Peter,7,29
2020-02-01,Allison Jones,8,23
2020-02-01,Barbara Yaffe,8,24
2020-02-01,Christine Elliott,8,25
2020-02-01,Vanessa Allen,8,26
2020-02-01,Veronika Krubner,8,27
2020-02-01,Chris Whitty,10,21
2020-02-01,Neuer Inhalt,10,22
2020-02-01,Chris Mackie,12,17
2020-02-01,David Williams,12,18
2020-02-01,Neil Fullick,12,19
2020-02-01,Tedros Adhanom Ghebreyesus,12,20
2020-02-01,Zhang Chunlei,14,16
2020-02-01,Dennis Tajer,15,14
2020-02-01,Hua Chunying,15,15
2020-02-01,Nan,16,13
2020-02-01,Gabriel Crossley,18,10
2020-02-01,Gauden Galea,18,11
2020-02-01,Nick Mulveney,18,12
2020-02-01,Jane Wardell,20,6
2020-02-01,Joori Roh,20,7
2020-02-01,Li Keqiang,20,8
2020-02-01,Scott Murdoch,20,9
2020-02-01,Alex Azar,23,5
2020-02-01,David Stanway,32,3
2020-02-01,Yilei Sun,32,4
2020-02-01,Scott Morrison,33,2
2020-02-01,Donald Trump,37,1
2020-02-02,Alberto Pezzali,3,45
2020-02-02,Jetstar Pacific,3,46
2020-02-02,Los Angeles,3,47
2020-02-02,Ma Guoqiang,3,48
2020-02-02,Philip Fong Afp,3,49
2020-02-02,Winnie Yu,3,50
2020-02-02,Aaron Favila,4,37
2020-02-02,Angelina Jolie,4,38
2020-02-02,Jason Lee,4,39
2020-02-02,Meghan Markle,4,40
2020-02-02,Mei Foo,4,41
2020-02-02,Retno Marsudi,4,42
2020-02-02,Robert Obrien,4,43
2020-02-02,Zhang Chunlei,4,44
2020-02-02,El Al,5,33
2020-02-02,Shamim Adam,5,34
2020-02-02,Shannon Liao,5,35
2020-02-02,Vin Gupta,5,36
2020-02-02,Greg Baker,6,30
2020-02-02,Jacinda Ardern,6,31
2020-02-02,Rabindra Abeyasinghe,6,32
2020-02-02,Francisco Duque,7,28
2020-02-02,Wilbur Ross,7,29
2020-02-02,Clare Jin,8,27
2020-02-02,Alex Azar,10,24
2020-02-02,Nan,10,25
2020-02-02,Virgin Atlantic,10,26
2020-02-02,Hua Chunying,11,23
2020-02-02,Scott Morrison,12,22
2020-02-02,Dennis Tajer,14,21
2020-02-02,Rodrigo Duterte,15,20
2020-02-02,Neuer Inhalt,17,19
2020-02-02,Daniel Wallis,20,18
2020-02-02,Xiao Juhua,21,17
2020-02-02,Li Keqiang,26,15
2020-02-02,Thomas Peter,26,16
2020-02-02,Donald Trump,27,14
2020-02-02,Brenda Goh,32,10
2020-02-02,Clare Jim,32,11
2020-02-02,Frances Kerry,32,12
2020-02-02,Pei Li,32,13
2020-02-02,Christopher Cushing,40,7
2020-02-02,Enrico Dela Cruz,40,8
2020-02-02,Wu Caixia,40,9
2020-02-02,Rosalba Obrien,44,6
2020-02-02,Lu Yuejin,58,5
2020-02-02,Roxanne Liu,64,4
2020-02-02,Lusha Zhang,84,1
2020-02-02,Martin Pollard,84,2
2020-02-02,Yilei Sun,84,3
2020-02-03,Boris Johnson,3,47
2020-02-03,Neil Armstrong,3,48
2020-02-03,Rodrigo Duterte,3,49
2020-02-03,Vanessa Allen,3,50
2020-02-03,Anneken Tappe,4,42
2020-02-03,Carrie Lam,4,43
2020-02-03,Jennifer Lee,4,44
2020-02-03,Marise Payne,4,45
2020-02-03,Virgin Atlantic,4,46
2020-02-03,Abdul Sattar Khokhar,6,35
2020-02-03,Andrew Bremberg,6,36
2020-02-03,Christian Drosten,6,37
2020-02-03,Justin Trudeau,6,38
2020-02-03,Michael Sohn,6,39
2020-02-03,Muhammad Rauf,6,40
2020-02-03,Zafar Mirza,6,41
2020-02-03,Wang Yi,7,34
