date,person,count,rn
2020-02-01,Charlie Hobart,42,47
2020-02-01,Chris Van Heesch,42,48
2020-02-01,Helen Lewis,42,49
2020-02-01,Mohammed Raihan,42,50
2020-02-01,Bill Chen,43,46
2020-02-01,Daniel Wallis,46,42
2020-02-01,Li Keqiang,46,43
2020-02-01,Shinzo Abe,46,44
2020-02-01,Tim Cook,46,45
2020-02-01,Daisy Nguyen,49,39
2020-02-01,Ken Cuccinelli,49,40
2020-02-01,Terry Tang,49,41
2020-02-01,Dan Whitcomb,56,38
2020-02-01,Deena Beasley,58,36
2020-02-01,Manas Mishra,58,37
2020-02-01,Ankur Banerjee,59,35
2020-02-01,Bharatha Mallawarachi,60,28
2020-02-01,Cynthia Bao,60,29
2020-02-01,Gregg Orton,60,30
2020-02-01,Hoa Nguyen,60,31
2020-02-01,Munto Davis,60,32
2020-02-01,Niniek Karmini,60,33
2020-02-01,Richard Vu,60,34
2020-02-01,Gabriella Borter,61,26
2020-02-01,Makini Brice,61,27
2020-02-01,Dan Grebler,63,25
2020-02-01,Mike Wester,65,24
2020-02-01,Martin Cetron,66,23
2020-02-01,Steve Gorman,69,22
2020-02-01,Marion Koopmans,70,21
2020-02-01,Ma Guoqiang,76,20
2020-02-01,Sam Mcneil,78,19
2020-02-01,Jonathan Oatis,89,18
2020-02-01,Monica Bharel,103,17
2020-02-01,Nan,107,15
2020-02-01,Rita Nieves,107,16
2020-02-01,Hau Dinh,116,14
2020-02-01,Aniruddha Ghosal,117,13
2020-02-01,Mari Yamaguchi,131,12
2020-02-01,Anthony Fauci,134,11
2020-02-01,Sara Cody,194,10
2020-02-01,Robert Redfield,237,9
2020-02-01,Scott Morrison,258,8
2020-02-01,Gauden Galea,269,7
2020-02-01,Los Angeles,339,6
2020-02-01,Nancy Messonnier,375,5
2020-02-01,Tedros Adhanom Ghebreyesus,386,4
2020-02-01,Hua Chunying,391,3
2020-02-01,Donald Trump,589,2
2020-02-01,Alex Azar,606,1
2020-02-02,Amy Klobuchar,47,50
2020-02-02,Kriengsak Attipornwanich,48,48
2020-02-02,Yorkhong Kong,48,49
2020-02-02,Ziad Abid,49,47
2020-02-02,Li Keqiang,50,45
2020-02-02,Nan,50,46
2020-02-02,Boniface Mwamposa,51,43
2020-02-02,Kippi Warioba,51,44
2020-02-02,Doina Chiacu,52,41
2020-02-02,Wu Caixia,52,42
2020-02-02,Steve Geimann,54,40
2020-02-02,Ali Larijani,55,33
2020-02-02,Amr Adeeb,55,34
2020-02-02,Dmitry Peskov,55,35
2020-02-02,Hassan Rouhani,55,36
2020-02-02,Jacob Magid,55,37
2020-02-02,Javad Zarif,55,38
2020-02-02,Ruhollah Khomeini,55,39
2020-02-02,Jared Kushner,56,32
2020-02-02,Elizabeth Warren,57,31
2020-02-02,Dandan Li,58,29
2020-02-02,Lu Yuejin,58,30
2020-02-02,Tedros Adhanom Ghebreyesus,59,28
2020-02-02,Joe Biden,61,27
2020-02-02,Benjamin Netanyahu,62,26
2020-02-02,Bernie Sanders,63,25
2020-02-02,Roxanne Liu,64,24
2020-02-02,Abeer Abu Omar,65,19
2020-02-02,Alfred Liu,65,20
2020-02-02,Debby Wu,65,21
2020-02-02,Miaojung Lin,65,22
2020-02-02,Sara Marley,65,23
2020-02-02,Jens Spahn,68,18
2020-02-02,Larry Madoff,82,17
2020-02-02,Mike Pompeo,83,16
2020-02-02,Lusha Zhang,84,13
2020-02-02,Martin Pollard,84,14
2020-02-02,Yilei Sun,84,15
2020-02-02,Hua Chunying,85,12
2020-02-02,Jonathan Rath Hoffman,88,11
2020-02-02,Scott Morrison,90,10
2020-02-02,Nancy Messonnier,98,9
2020-02-02,Robert Obrien,102,8
2020-02-02,Oxiris Barbot,103,7
2020-02-02,Rita Nieves,110,6
2020-02-02,Monica Bharel,128,5
2020-02-02,Mark Esper,163,4
2020-02-02,Alex Azar,231,3
2020-02-02,Los Angeles,251,2
2020-02-02,Donald Trump,278,1
2020-02-03,Barack Obama,26,46
2020-02-03,Matt Hancock,26,47
2020-02-03,Richard Fausset,26,48
2020-02-03,Thomas Fuller,26,49
2020-02-03,Vivian Lin,26,50
2020-02-03,Chris Whitty,27,44
2020-02-03,Santa Barbara,27,45
2020-02-03,Andrew Cuomo,29,41
2020-02-03,Josh Green,29,42
2020-02-03,Scott Morrison,29,43
2020-02-03,Amy Klobuchar,30,40
2020-02-03,Steven Jiang,31,39
2020-02-03,Abu Dhabi,32,37
2020-02-03,Rachael Kagan,32,38
2020-02-03,David Pekoske,33,36
2020-02-03,Michael Ryan,34,35
2020-02-03,David Mcnew Getty,36,34
2020-02-03,Atlanta Hartsfield-Jackson,37,32
2020-02-03,Rita Nieves,37,33
2020-02-03,Gabriel Crossley,39,29
2020-02-03,Mikhail Mishustin,39,30
2020-02-03,Pete Buttigieg,39,31
2020-02-03,Robert Redfield,43,28
2020-02-03,Bernie Sanders,45,27
2020-02-03,Joe Biden,49,26
2020-02-03,Amber Gao,50,19
2020-02-03,Elise Durham,50,20
2020-02-03,Elizabeth Warren,50,21
2020-02-03,Jeffrey Phillips,50,22
2020-02-03,Kevin Luo,50,23
2020-02-03,Lisa Hellerstedt,50,24
2020-02-03,Richard Ren,50,25
2020-02-03,Monica Bharel,52,18
2020-02-03,Oxiris Barbot,53,17
2020-02-03,Sean Hannity,59,16
2020-02-03,Anthony Fauci,60,15
2020-02-03,Marty Fenstersheib,61,14
2020-02-03,Nan,70,13
2020-02-03,Jens Spahn,100,12
2020-02-03,Martin Fenstersheib,101,11
2020-02-03,Santa Clara,116,10
2020-02-03,Tedros Adhanom Ghebreyesus,149,9
2020-02-03,Robert Obrien,159,8
2020-02-03,Mike Pompeo,176,7
2020-02-03,Sara Cody,178,6
2020-02-03,Hua Chunying,250,5
2020-02-03,Alex Azar,278,4
2020-02-03,Nancy Messonnier,340,3
2020-02-03,Donald Trump,363,2
2020-02-03,Los Angeles,475,1
2020-02-04,Gabriel Crossley,37,49
2020-02-04,Tom Krisher,37,50
2020-02-04,Matt Obrien,38,46
2020-02-04,Michael Perry,38,47
2020-02-04,Monica Bharel,38,48
2020-02-04,Gretchen Whitmer,39,45
2020-02-04,Joe Biden,40,43
2020-02-04,Kenneth Burnett,40,44
2020-02-04,Laurie Kellman,41,41
2020-02-04,Yanjun Wei,41,42
2020-02-04,Brenda Goh,42,40
2020-02-04,Jay Foreman,45,36
2020-02-04,Johan Gott,45,37
2020-02-04,Pete Buttigieg,45,38
2020-02-04,Sara Cody,45,39
2020-02-04,Martin Fenstersheib,46,34
2020-02-04,Stephen Coates,46,35
2020-02-04,Carrie Lam,48,33
2020-02-04,Josh Green,52,32
2020-02-04,David Closs,53,27
