date,person,count,rn
2020-02-20,Amy Klobuchar,1,1
2020-02-20,Bashar Barakah Jackson,1,2
2020-02-20,Bernie Sander,1,3
2020-02-20,Bernie Sanders,1,4
2020-02-20,Dana Rohrabacher,1,5
2020-02-20,Donald Trump,1,6
2020-02-20,Duane Ruth-Heffelbower,1,7
2020-02-20,Edward Fitzgerald,1,8
2020-02-20,Edwin Arroyave,1,9
2020-02-20,Elizabeth Warren,1,10
2020-02-20,Jennifer Robinson,1,11
2020-02-20,Joe Biden,1,12
2020-02-20,Julian Assange,1,13
2020-02-20,Las Vegas,1,14
2020-02-20,Los Angeles,1,15
2020-02-20,Mark Lowcock,1,16
2020-02-20,Michael Milken,1,17
2020-02-20,Mike Bloomberg,1,18
2020-02-20,Pete Buttigieg,1,19
2020-02-20,Rod Blagojevich,1,20
2020-02-20,Stephanie Grisham,1,21
2020-02-20,Steve Lurie,1,22
2020-02-20,Teddi Mellencamp,1,23
2020-02-20,Wang Zhonglin,1,24
2020-02-28,Adam Levy,1,1
2020-02-28,Ann Wagner R-Mo,1,2
2020-02-28,Bashir Adigun,1,3
2020-02-28,Ben Rich,1,4
2020-02-28,Bernie Sander,1,5
2020-02-28,Bernie Sanders,1,6
2020-02-28,Buzzfeed Nidhi Prakash,1,7
2020-02-28,Caitlin Oprysko,1,8
2020-02-28,Cara Anna,1,9
2020-02-28,Cathy Mcmorris Rodgers R-Wash,1,10
2020-02-28,Claudia Tenney,1,11
2020-02-28,Collin Binkley,1,12
2020-02-28,Dan Grattan,1,13
2020-02-28,Dave Joyce R-Ohio,1,14
2020-02-28,David Leiter,1,15
2020-02-28,David Lim,1,16
2020-02-28,Elise Pickering,1,17
2020-02-28,Elise Stefanik,1,18
2020-02-28,Elizabeth Warren,1,19
2020-02-28,Fred Graefe,1,20
2020-02-28,Jake Pearson,1,21
2020-02-28,Jared Kushner,1,22
2020-02-28,Jeff Jensen,1,23
2020-02-28,Jeff Krilla,1,24
2020-02-28,John Durham,1,25
2020-02-28,Jonathan Kravis,1,26
2020-02-28,Josh Gerstein,1,27
2020-02-28,Julie Conway,1,28
2020-02-28,Kathryn Lehman,1,29
2020-02-28,Kristine Blackwood,1,30
2020-02-28,Lisa Murkowski R-Alaska,1,31
2020-02-28,Los Angeles,1,32
2020-02-28,Marianne Levine,1,33
2020-02-28,Martha Roby R-Ala,1,34
2020-02-28,Max Richtman,1,35
2020-02-28,Melanie Rhinehart,1,36
2020-02-28,Melike Yetken,1,37
2020-02-28,Michael Cohen,1,38
2020-02-28,Michael Flynn,1,39
2020-02-28,Michael Obrien,1,40
2020-02-28,Mike Bloomberg,1,41
2020-02-28,Milo Jeffrey Krilla,1,42
2020-02-28,Pete Buttigieg,1,43
2020-02-28,Richard Donoghue,1,44
2020-02-28,Robert Hunter Biden,1,45
2020-02-28,Robert Khuzami,1,46
2020-02-28,Ron Estes R-Kan,1,47
2020-02-28,Sam Lancaster,1,48
2020-02-28,Sara Fagen,1,49
2020-02-28,Steve Womack R-Ark,1,50
2020-02-29,Bernie Sanders,1,2
2020-02-29,Crysty Vaughan,1,3
2020-02-29,Danny Glover,1,4
2020-02-29,Henry Mcmaster,1,5
2020-02-29,Joe Biden,1,6
2020-02-29,Maria Szatkowski,1,7
2020-02-29,Pete Buttigieg,1,8
2020-02-29,Tom Steyer,1,9
2020-02-29,Donald Trump,2,1
2020-03-03,Gavin Jackson,1,1
2020-03-03,Jim Clyburn,1,2
2020-03-03,Joe Cunningham,1,3
2020-03-03,Karen Jowersandpatricia Kime,1,4
2020-03-03,Leonard Wood,1,5
2020-03-03,Nikki Haley,1,6
2020-03-03,Paul Funk,1,7
2020-03-03,Richard Mcnorton,1,8
2020-03-04,Gavin Jackson,1,1
2020-03-04,Jim Clyburn,1,2
2020-03-04,Joe Cunningham,1,3
2020-03-04,Nikki Haley,1,4
2020-03-06,Leonardo Brown,1,1
2020-03-06,Paul Livingston,1,2
2020-03-06,Steve Benjamin,1,3
2020-03-07,John Saunders,1,4
2020-03-07,Paul Livingston,1,5
2020-03-07,Teresa Wilson,1,6
2020-03-07,Linda Bell,2,2
2020-03-07,Steve Benjamin,2,3
2020-03-07,Henry Mcmaster,3,1
2020-03-10,Ben Johnson,1,8
2020-03-10,Dorey Diab,1,9
2020-03-10,Frank Larose,1,10
2020-03-10,Mansfield Michael Drake,1,11
2020-03-10,Norman Jones,1,12
2020-03-10,Reed Richmond,1,13
2020-03-10,Brittany Baker,2,3
2020-03-10,Jane Zimmermann,2,4
2020-03-10,Keith Stoner,2,5
2020-03-10,Ocie Hill,2,6
2020-03-10,Paul Fahrbach,2,7
2020-03-10,Mike Dewine,3,1
2020-03-10,Paulette Hankins,3,2
2020-03-12,Ben Johnson,1,1
2020-03-12,Cassie Miller,1,2
2020-03-12,David Nelson,1,3
2020-03-12,Frank Larose,1,4
2020-03-12,Jim Cornelius,1,5
2020-03-12,Keith Stoner,1,6
2020-03-12,Mansfield Michael Drake,1,7
2020-03-12,Mike Dewine,1,8
2020-03-12,Norman Jones,1,9
2020-03-12,Paulette Hankins,1,10
2020-03-12,Reed Richmond,1,11
2020-03-12,Roman Bloemke,1,12
2020-03-13,Akron Canton,1,18
2020-03-13,Amy Acton,1,19
