date,person,count,rn
2020-02-01,Becky Larson,1,1
2020-02-01,Cory Gardner,1,2
2020-02-01,Jim Inhofe,1,3
2020-02-01,John Cornyn,1,4
2020-02-01,Marco Rubio,1,5
2020-02-01,Matt Yu,1,6
2020-02-01,Matthew Mazzetta,1,7
2020-02-01,Mitt Romney,1,8
2020-02-01,Ted Cruz,1,9
2020-02-01,Tedros Adhanom Ghebreyesus,1,10
2020-02-01,Tom Cotton,1,11
2020-02-02,A Hong Kong,1,3
2020-02-02,Abeer Abu Omar,1,4
2020-02-02,Alfred Liu,1,5
2020-02-02,Andrew Davis,1,6
2020-02-02,Cory Gardner,1,7
2020-02-02,Dan Tehanestimated,1,8
2020-02-02,Dandan Li,1,9
2020-02-02,Debby Wu,1,10
2020-02-02,Helene Fouquet,1,11
2020-02-02,Jim Inhofe,1,12
2020-02-02,John Cornyn,1,13
2020-02-02,John Nicholls,1,14
2020-02-02,Jonathan Rath Hoffman,1,15
2020-02-02,Los Angeles,1,16
2020-02-02,Marco Rubio,1,17
2020-02-02,Miaojung Lin,1,18
2020-02-02,Michelle Fay Cortez,1,19
2020-02-02,Mitt Romney,1,20
2020-02-02,Oxiris Barbot,1,21
2020-02-02,Rabindra Abeyasinghe,1,22
2020-02-02,Retno Marsudi,1,23
2020-02-02,Rodrigo Duterte,1,24
2020-02-02,Sara Marley,1,25
2020-02-02,Shamim Adam,1,26
2020-02-02,Steve Geimann,1,27
2020-02-02,Ted Cruz,1,28
2020-02-02,Tedros Adhanom Ghebreyesus,1,29
2020-02-02,Tom Cotton,1,30
2020-02-02,Chris Mitchell,2,1
2020-02-02,Mark Esper,2,2
2020-02-03,Cassandra Gesecki,1,4
2020-02-03,Kelly Yamanouchi,1,5
2020-02-03,Patrick Dehaan,1,6
2020-02-03,Phil Davidson,1,7
2020-02-03,Robert Abrams,1,8
2020-02-03,Robert Abrams Dogfacesoldier,1,9
2020-02-03,Donald Trump,2,2
2020-02-03,Jacque Revello,2,3
2020-02-03,Los Angeles,4,1
2020-02-04,Alexa Corse,1,2
2020-02-04,Brad Parscale,1,3
2020-02-04,Brandon Borrman,1,4
2020-02-04,Brian Fung,1,5
2020-02-04,Cecilia Kang,1,6
2020-02-04,Charlie Kirk,1,7
2020-02-04,Corinne Ramey,1,8
2020-02-04,Deepa Seetharaman,1,9
2020-02-04,Donie Osullivan,1,10
2020-02-04,Emily Glazer,1,11
2020-02-04,Eric Trump,1,12
2020-02-04,Graham Brookie,1,13
2020-02-04,Hannah Knowles,1,14
2020-02-04,Isaac Stanley-Becker,1,15
2020-02-04,Jeff Bezos,1,16
2020-02-04,Joe Palazzolo,1,17
2020-02-04,Joseph James Deangelo,1,18
2020-02-04,Judith Persichilli,1,19
2020-02-04,Justin Hendrix,1,20
2020-02-04,Katie Rosborough,1,21
2020-02-04,Kevin Hall,1,22
2020-02-04,Lauren Sanchez,1,23
2020-02-04,Los Angeles,1,24
2020-02-04,Makan Delrahim,1,25
2020-02-04,Michael Hotchkiss,1,26
2020-02-04,Michael Orielly,1,27
2020-02-04,Michael Sanchez,1,28
2020-02-04,Nan,1,29
2020-02-04,Natalie Ram,1,30
2020-02-04,Noah Joshua Phillips,1,31
2020-02-04,Paul Pate,1,32
2020-02-04,Peter Aldhous,1,33
2020-02-04,Phil Murphy,1,34
2020-02-04,Roger Taylor,1,35
2020-02-04,Rohit Chopra,1,36
2020-02-04,Tara Mcgowan,1,37
2020-02-04,Tom Fitton,1,38
2020-02-04,Tony Romm,1,39
2020-02-04,Yael Eisenstat,1,40
