date,person,count,rn
2020-02-29,Alex Azar,1,6
2020-02-29,Anthony Fauci,2,1
2020-02-29,Donald Trump,2,2
2020-02-29,Elizabeth Warren,2,3
2020-02-29,Mitch Mcconnell,2,4
2020-02-29,Narendra Modi,2,5
2020-03-01,Anthony Fauci,1,24
2020-03-01,Charlie Neibergall,1,25
2020-03-01,Chuck Todd,1,26
2020-03-01,Jimmy Carter,1,27
2020-03-01,John Lewis,1,28
2020-03-01,Martin Luther King Jr,1,29
2020-03-01,Matt Rourke,1,30
2020-03-01,Mitch Mcconnell,1,31
2020-03-01,Narendra Modi,1,32
2020-03-01,Rosalynn Carter,1,33
2020-03-01,Sen Amy Klobuchar,1,34
2020-03-01,Sen Elizabeth Warren,1,35
2020-03-01,Las Vegas,2,22
2020-03-01,Neuer Inhalt,2,23
2020-03-01,Elizabeth Frantz,3,21
2020-03-01,Mike Bloomberg,4,18
2020-03-01,Peter Cooney,4,19
2020-03-01,Scott Malone,4,20
2020-03-01,Lisa Shumaker,6,17
2020-03-01,Darrio Melton,7,14
2020-03-01,Debbie Wasserman Schultz,7,15
2020-03-01,Trevor Hunnicutt,7,16
2020-03-01,Barack Obama,8,9
2020-03-01,Donald Trump,8,10
2020-03-01,Lisa Brown,8,11
2020-03-01,Los Angeles,8,12
2020-03-01,Pete Buttigieg,8,13
2020-03-01,Terri Sewell,9,7
2020-03-01,Tom Steyer,9,8
2020-03-01,Doina Chiacu,11,6
2020-03-01,Amy Klobuchar,14,4
2020-03-01,Michael Bloomberg,14,5
2020-03-01,Bernie Sanders,16,1
2020-03-01,Elizabeth Warren,16,2
2020-03-01,Joe Biden,16,3
2020-03-02,Anthony Fauci,1,40
2020-03-02,Brittainy Newman,1,41
2020-03-02,Charlie Neibergall,1,42
2020-03-02,Chuck Todd,1,43
2020-03-02,Erin Schaff,1,44
2020-03-02,Jimmy Carter,1,45
2020-03-02,Kamala Harris,1,46
2020-03-02,Katie Glueck,1,47
2020-03-02,Matt Rourke,1,48
2020-03-02,Mike Pence,1,49
2020-03-02,Mitch Mcconnell,1,50
2020-03-02,Kathleen Ronayne,2,33
2020-03-02,Lisa Shumaker,2,34
2020-03-02,Neuer Inhalt,2,35
2020-03-02,Peter Cooney,2,36
2020-03-02,Scott Malone,2,37
2020-03-02,Shane Goldmacher,2,38
2020-03-02,Trevor Hunnicutt,2,39
2020-03-02,Bobby Scott,3,24
2020-03-02,Doina Chiacu,3,25
2020-03-02,Jason Schechter,3,26
2020-03-02,Jennifer Wexton,3,27
2020-03-02,Jon Henes,3,28
2020-03-02,Patti Solis Doyle,3,29
2020-03-02,Roger Lau,3,30
2020-03-02,Terry Mcauliffe,3,31
2020-03-02,Tim Kaine,3,32
2020-03-02,Darrio Melton,4,15
2020-03-02,Debbie Wasserman Schultz,4,16
2020-03-02,Hillary Clinton,4,17
2020-03-02,Jay Reeves,4,18
2020-03-02,Lisa Brown,4,19
2020-03-02,Los Angeles,4,20
2020-03-02,Patrick Semansky,4,21
2020-03-02,Pete Buttigieg,4,22
2020-03-02,Terri Sewell,4,23
2020-03-02,Arthur Smith,5,10
2020-03-02,Dan Pfeiffer,5,11
2020-03-02,Sheri Sadler,5,12
2020-03-02,Shirley Weber,5,13
2020-03-02,Tim Obrien,5,14
2020-03-02,Mike Bloomberg,6,9
2020-03-02,Donald Trump,8,7
2020-03-02,Michael Bloomberg,8,8
2020-03-02,Barack Obama,9,5
2020-03-02,Tom Steyer,9,6
2020-03-02,Amy Klobuchar,13,4
2020-03-02,Joe Biden,14,3
2020-03-02,Bernie Sanders,15,1
2020-03-02,Elizabeth Warren,15,2
2020-03-04,Amy Klobuchar,1,1
2020-03-04,Bernie Sanders,1,2
2020-03-04,Donald Trump,1,3
2020-03-04,Eddie Glaude,1,4
2020-03-04,Elizabeth Warren,1,5
2020-03-04,Joe Biden,1,6
2020-03-04,John Lewis,1,7
2020-03-04,Mike Bloomberg,1,8
